 
 
                   ###################################################
                   #                                                 #
                   #      GENLINPRED UNCERTAINTY/ERROR ANALYSIS      #
                   #                                                 #
                   ###################################################
 
 
 
                   ANALYSIS DETAILS
                   ----------------
 
    Name of PEST control file                                   : linunc.pst
    Factor by which to multiply observation weights             : 1.0000
    Source of parameter uncertainty data                        : uncertainty file
    Name of uncertainty file                                    : param.unc
 
    Perform global parameter estimability analysis              : yes
         Parameter identifiability                              : yes
         Relative parameter error reduction                     : no
         Relative parameter uncertainty reduction               : yes
 
    Analyse error/uncertainty of an entity                      : yes
         Name of entity                                         : p-trib_1
         Type of entity                                         : prediction
         File containing prediction sensitivities               : linunc.jco
 
         Total error variance                                   : yes
         Total uncertainty                                      : yes
 
         Parameter contributions to error variance              : no
         Parameter contributions to uncertainty                 : yes
         Parameter contributions                                : by group
 
         Observation worth in reducing error variance           : no
         Observation worth in reducing uncertainty variance     : yes
         Observation worth                                      : by group


                   ANALYSIS OF PARAMETERS
                   ----------------------


 Outcomes of running program SUPCALC ----->
 
    Number of dimensions of calibration solution space = 20
    Number of dimensions of calibration null space     = 2185

 Outcomes of parameter identifiability and error/uncertainty variance reduction analysis ----->
 
    Parameter              Identifiability        Rel_uncert_var_redn
    drncpp25                7.1308667E-03          1.5135000E-02
    drncpp26                4.8368065E-03          2.7028400E-02
    drncpp27                1.1091584E-02          3.6019600E-02
    drncpp28                3.1035819E-02          3.6459600E-02
    drncpp29                8.8640697E-03          2.3440900E-02
    drncpp30                6.0113170E-03          1.4433000E-02
    drncpp31                2.5450498E-03          7.0275000E-03
    ghbc1pp01               3.5471452E-04          4.3813000E-03
    ghbc1pp02               9.9698146E-04          5.4578000E-03
    ghbc1pp03               1.0767933E-03          6.3975000E-03
    ghbc1pp04               1.0895740E-03          7.0956000E-03
    ghbc1pp05               1.0777092E-03          7.4813000E-03
    ghbc1pp06               1.0283209E-03          7.5362000E-03
    ghbc1pp07               9.3052822E-04          7.3080000E-03
    ghbc1pp08               7.9581928E-04          6.9110000E-03
    ghbc1pp09               6.7116849E-04          6.5080000E-03
    ghbc1pp10               6.0890699E-04          6.2690000E-03
    ghbc1pp11               6.3343524E-04          6.3058000E-03
    ghbc1pp12               7.4834721E-04          6.6101000E-03
    ghbc1pp13               9.5270820E-04          7.0212000E-03
    ghbc1pp14               1.1788143E-03          7.2477000E-03
    ghbc1pp15               1.1786873E-03          6.9951000E-03
    ghbc1pp16               4.6124069E-04          6.1757000E-03
    ghbc1pp17               8.5143862E-05          5.1281000E-03
    ghbc1pp18               2.6514381E-04          4.1911000E-03
    ghbc1pp19               5.5736417E-04          3.3286000E-03
    ghbc1pp20               4.3324334E-04          2.5102000E-03
    ghbc1pp21               2.7975063E-04          1.8168000E-03
    ghbc1pp22               1.7454491E-04          1.2903000E-03
    ghbc1pp23               7.8670635E-05          9.2660000E-04
    ghbc1pp24               2.0793880E-05          7.0700000E-04
    ghbc1pp25               8.8414706E-06          6.1380000E-04
    ghbc1pp26               3.9357221E-05          6.3080000E-04
    ghbc1pp27               1.0143536E-04          7.3360000E-04
    ghbc1pp28               1.2241745E-04          8.9840000E-04
    ghbc1pp29               1.3402361E-04          1.1118000E-03
    ghbc1pp30               1.4690241E-04          1.3595000E-03
    ghbc1pp31               1.6275920E-04          1.6130000E-03
    ghbc1pp32               1.7988387E-04          1.8392000E-03
    ghbc1pp33               1.9647214E-04          2.0089000E-03
    ghbc1pp34               2.1008262E-04          2.1014000E-03
    ghbc1pp35               2.1986491E-04          2.1069000E-03
    ghbc1pp36               2.2462033E-04          2.0274000E-03
    ghbc1pp37               2.2328732E-04          1.8745000E-03
    ghbc1pp38               2.1865857E-04          1.6657000E-03
    ghbc1pp39               2.1067510E-04          1.4201000E-03
    ghbc1pp40               1.9110351E-04          1.1567000E-03
    ghbc1pp41               6.7798263E-05          8.9430000E-04
    ghbc3pp01               1.5566431E-03          1.9878600E-02
    ghbc3pp02               4.3684575E-03          2.4855300E-02
    ghbc3pp03               4.7376535E-03          2.9275700E-02
    ghbc3pp04               4.8532498E-03          3.2675700E-02
    ghbc3pp05               4.8899633E-03          3.4736800E-02
    ghbc3pp06               4.8071785E-03          3.5373000E-02
    ghbc3pp07               4.4860921E-03          3.4824200E-02
    ghbc3pp08               3.9488853E-03          3.3704700E-02
    ghbc3pp09               3.4343049E-03          3.2914700E-02
    ghbc3pp10               3.2465151E-03          3.3374200E-02
    ghbc3pp11               3.4649004E-03          3.5640100E-02
    ghbc3pp12               3.9807300E-03          3.9576300E-02
    ghbc3pp13               4.9283626E-03          4.4219100E-02
    ghbc3pp14               6.1072900E-03          4.7853400E-02
    ghbc3pp15               6.3120803E-03          4.8649800E-02
    ghbc3pp16               5.3619466E-03          4.5817200E-02
    ghbc3pp17               4.0893387E-03          3.9936500E-02
    ghbc3pp18               2.9369965E-03          3.2396400E-02
    ghbc3pp19               2.0716504E-03          2.4695500E-02
    ghbc3pp20               1.4618479E-03          1.7917800E-02
    ghbc3pp21               1.0363324E-03          1.2592500E-02
    ghbc3pp22               7.3451475E-04          8.7838000E-03
    ghbc3pp23               5.2658188E-04          6.2909000E-03
    ghbc3pp24               4.2047422E-04          4.8202000E-03
    ghbc3pp25               4.0428438E-04          4.1000000E-03
    ghbc3pp26               4.3211125E-04          3.9396000E-03
    ghbc3pp27               4.5685349E-04          4.2426000E-03
    ghbc3pp28               4.8468404E-04          4.9449000E-03
    ghbc3pp29               5.4004738E-04          5.9831000E-03
    ghbc3pp30               6.3187858E-04          7.2966000E-03
    ghbc3pp31               7.5909988E-04          8.7457000E-03
    ghbc3pp32               9.0766359E-04          1.0146400E-02
    ghbc3pp33               1.0617903E-03          1.1318100E-02
    ghbc3pp34               1.2076451E-03          1.2111400E-02
    ghbc3pp35               1.3318782E-03          1.2429500E-02
    ghbc3pp36               1.4220293E-03          1.2237500E-02
    ghbc3pp37               1.4702615E-03          1.1559300E-02
    ghbc3pp38               1.4835236E-03          1.0468700E-02
    ghbc3pp39               1.4648608E-03          9.0709000E-03
    ghbc3pp40               1.3501002E-03          7.4877000E-03
    ghbc3pp41               4.7919499E-04          5.8510000E-03
    kx1pp001                3.0617900E-03          1.1322300E-02
    kx1pp002                1.4419637E-03          1.6187600E-02
    kx1pp003                4.9742465E-04          4.9226000E-03
    kx1pp004                2.2170562E-04          1.9049300E-02
    kx1pp005                8.4018357E-04          5.0776600E-02
    kx1pp006                4.3023743E-03          8.6069100E-02
    kx1pp007                4.9235743E-03          9.3236600E-02
    kx1pp008                1.8442471E-03          5.9768600E-02
    kx1pp009                1.5996259E-04          5.5334200E-02
    kx1pp010                3.4341075E-04          4.5613400E-02
    kx1pp011                6.5857980E-04          6.0646000E-02
    kx1pp012                1.9040564E-04          7.8872700E-02
    kx1pp013                1.3567342E-02          2.7756500E-02
    kx1pp014                1.1079766E-03          2.7939700E-02
    kx1pp015                7.2438808E-03          2.3080500E-02
    kx1pp016                1.8286591E-03          1.7855900E-02
    kx1pp017                1.8106582E-03          7.9900000E-03
    kx1pp018                2.1025116E-04          1.0766900E-02
    kx1pp019                6.4699272E-04          1.0657800E-02
    kx1pp020                1.3052811E-03          5.4782000E-03
    kx1pp021                5.1496880E-03          2.6248000E-02
    kx1pp022                3.9770691E-03          2.3675400E-02
    kx1pp023                9.5563405E-04          1.8584200E-02
    kx1pp024                7.8657867E-04          1.7145200E-02
    kx1pp025                6.1575762E-04          1.8385200E-02
    kx1pp026                2.3195220E-04          1.2444800E-02
    kx1pp027                1.0492247E-03          2.6673700E-02
    kx1pp028                1.9204505E-03          0.2959614
    kx1pp029                2.0867845E-04          0.1744020
    kx1pp030                1.1367442E-04          1.3547200E-02
    kx1pp031                4.5841207E-04          3.3529200E-02
    kx1pp032                5.5332086E-04          6.8473900E-02
    kx1pp033                2.4601198E-03          2.3322300E-02
    kx1pp034                3.0084134E-04          6.7572300E-02
    kx1pp035                6.9784600E-04          0.1558362
    kx1pp036                1.7560695E-03          1.0140700E-02
    kx1pp037                1.7331217E-03          1.6216400E-02
    kx1pp038                5.0270267E-04          5.8185300E-02
    kx1pp039                9.3582155E-04          6.7100400E-02
    kx1pp040                1.5367341E-03          0.2657274
    kx1pp041                1.2262195E-02          0.3026653
    kx1pp042                0.3822390              0.3903989
    kx1pp043                3.1115193E-03          0.2087888
    kx1pp044                9.1627759E-02          0.3787055
    kx1pp045                1.0701276E-02          0.3632546
    kx1pp046                4.1797836E-05          1.2679600E-02
    kx1pp047                0.4085845              0.5960758
    kx1pp048                4.2662822E-02          0.4429537
    kx1pp049                5.7828981E-07          2.5033900E-02
    kx1pp050                0.1385300              0.4980537
    kx1pp051                6.0883999E-02          0.3836022
    kx1pp052                0.1523243              0.4220464
    kx1pp053                3.9583690E-04          3.8491400E-02
    kx1pp054                7.4962299E-03          6.0752400E-02
    kx1pp055                2.5888239E-03          4.9475400E-02
    kx1pp056                4.8834699E-03          5.1422200E-02
    kx1pp057                4.9432497E-04          2.4439500E-02
    kx1pp058                3.9549700E-04          1.9169200E-02
    kx1pp059                1.5826960E-04          3.1105500E-02
    kx1pp060                3.5851589E-04          2.4439100E-02
    kx1pp061                3.4422227E-04          1.7627700E-02
    kx1pp062                1.0889637E-03          1.2352300E-02
    kx1pp063                1.0627900E-03          1.1017400E-02
    kx1pp064                1.7188054E-02          5.8863000E-03
    kx1pp065                3.6538031E-03          6.3331000E-03
    kx1pp066                6.5362980E-04          4.4285000E-03
    kx1pp067                5.5387635E-04          1.2010700E-02
    kx1pp068                1.1073906E-03          2.1355200E-02
    kx1pp069                1.3567968E-03          5.0668700E-02
    kx1pp070                5.0682566E-03          9.4952100E-02
    kx1pp071                8.3579148E-04          5.3400900E-02
    kx1pp072                2.3840097E-03          8.6633300E-02
    kx1pp073                3.1114782E-04          1.2782700E-02
    kx1pp074                2.3613798E-04          1.1250700E-02
    kx1pp075                1.7024314E-03          1.2869800E-02
    kx1pp076                4.8836135E-04          1.2724900E-02
    kx1pp077                9.5432656E-03          8.1379600E-02
    kx1pp078                2.8169377E-03          5.8372600E-02
    kx1pp079                5.6756695E-04          1.6543800E-02
    kx1pp080                2.2186087E-04          5.9373000E-03
    kx1pp081                5.9119343E-05          3.6052000E-03
    kx1pp082                3.0663542E-04          3.5897200E-02
    kx1pp083                6.9115109E-04          3.9045700E-02
    kx1pp084                4.6834741E-05          5.8496900E-02
    kx1pp085                2.4702014E-04          5.9228400E-02
    kx1pp086                4.0490228E-04          1.3056100E-02
    kx1pp087                2.0761706E-04          9.7795000E-03
    kx1pp088                8.9510316E-05          3.7842700E-02
    kx1pp089                7.3141963E-02          0.3414614
    kx1pp090                2.4099423E-02          0.2559557
    kx1pp091                2.1951877E-02          0.1463219
    kx1pp092                7.7643193E-03          8.6154800E-02
    kx1pp093                1.2457158E-03          1.6349900E-02
    kx1pp094                9.7402113E-03          1.6159900E-02
    kx1pp095                9.7386137E-05          2.4004200E-02
    kx1pp096                4.9849132E-04          3.1072400E-02
    kx1pp097                3.4061585E-04          9.3148500E-02
    kx1pp098                4.7991221E-04          1.9493800E-02
    kx1pp099                1.1012634E-03          7.2781000E-03
    kx1pp100                3.2874359E-04          7.1270000E-03
    kx1pp101                4.9817231E-04          1.2374900E-02
    kx1pp102                1.4209180E-03          5.6567600E-02
    kx1pp103                9.5821649E-04          1.1408000E-02
    kx1pp104                3.4373980E-04          2.0739800E-02
    kx1pp105                6.6557948E-04          4.8477400E-02
    kx1pp106                9.0891188E-04          5.6850000E-03
    kx1pp107                6.8390879E-04          2.0527800E-02
    kx1pp108                1.6549205E-02          9.2979300E-02
    kx1pp109                4.5715491E-02          0.3975875
    kx1pp110                7.3712862E-03          0.1000092
    kx1pp111                9.2869699E-02          0.1388099
    kx1pp112                1.6285249E-02          0.1396264
    kx1pp113                4.6695195E-03          0.1180264
    kx1pp114                1.0124708E-02          6.0420200E-02
    kx1pp115                6.6060183E-02          0.1804438
    kx1pp116                3.2023072E-02          8.4986500E-02
    kx1pp117                6.2234352E-03          6.9117700E-02
    kx1pp118                7.6548233E-02          0.1724834
    kx1pp119                3.2822573E-02          0.2574698
    kx1pp120                2.2149593E-02          0.3556501
    kx1pp121                6.9871916E-02          0.1680094
    kx1pp122                0.2721081              0.1675525
    kx1pp123                4.5656830E-02          9.9757600E-02
    kx1pp124                5.9965986E-02          4.8451300E-02
    kx1pp125                2.4425233E-03          1.6483300E-02
    kx1pp126                2.4044819E-03          4.8001500E-02
    kx1pp127                1.7011981E-02          5.1469800E-02
    kx1pp128                2.0331510E-02          0.2166623
    kx1pp129                6.5601446E-03          0.1403728
    kx1pp130                1.8363479E-03          5.9985300E-02
    kx1pp131                1.5768428E-03          3.0622300E-02
    kx1pp132                5.8104188E-03          7.6996800E-02
    kx1pp133                8.7660877E-02          0.1139159
    kx1pp134                0.1332549              0.1536200
    kx1pp135                0.1029716              0.4959736
    kx1pp136                2.6407648E-02          0.4561350
    kx1pp137                8.6113472E-02          0.4756791
    kx1pp138                2.3018278E-02          0.2857457
    kx1pp139                3.0375372E-02          0.2886624
    kx1pp140                2.8258631E-03          8.6306600E-02
    kx1pp141                2.1557685E-04          2.1091700E-02
    kx1pp142                3.8050927E-04          2.8374000E-03
    kx1pp143                2.6638483E-03          2.3105400E-02
    kx1pp144                1.4100851E-03          3.0774500E-02
    kx1pp145                5.3193820E-04          4.3004400E-02
    kx1pp146                7.6413340E-04          5.4088200E-02
    kx1pp147                3.4351432E-03          7.1751400E-02
    kx1pp148                2.2195302E-03          6.4706300E-02
    kx1pp149                1.0626777E-02          9.0254200E-02
    kx1pp150                6.1373006E-03          0.1007330
    kx1pp151                1.4688208E-02          0.1002433
    kx1pp152                5.6560369E-04          9.4517000E-02
    kx1pp153                1.8606407E-04          0.1112710
    kx1pp154                1.5966219E-04          8.2556300E-02
    kx1pp155                4.2084617E-05          2.4562700E-02
    kx1pp156                4.2939167E-04          4.1434700E-02
    kx1pp157                2.1374888E-03          8.6454600E-02
    kx1pp158                1.4527973E-03          4.7876300E-02
    kx1pp159                1.0117244E-03          6.0562600E-02
    kx1pp160                2.9366517E-04          3.1358300E-02
    kx1pp161                2.7556252E-04          1.8054100E-02
    kx1pp162                2.7074127E-04          1.1598000E-02
    kx1pp163                6.0764970E-04          2.1414600E-02
    kx1pp164                1.3801914E-04          8.3684000E-03
    kx1pp165                2.7715216E-04          7.7960000E-03
    kx1pp166                4.8419637E-04          6.3319100E-02
    kx1pp167                2.0074783E-04          3.6550100E-02
    kx1pp168                2.2615059E-05          2.2776800E-02
    kx1pp169                2.2547000E-06          1.3662400E-02
    kx1pp170                2.0649754E-04          3.6761400E-02
    kx1pp171                5.4746127E-05          3.2864900E-02
    kx1pp172                8.0227736E-03          0.1218529
    kx1pp173                2.8079203E-03          6.6228300E-02
    kx1pp174                5.5201683E-03          7.4178400E-02
    kx1pp175                1.0240153E-02          0.1115652
    kx1pp176                1.3084716E-03          0.1251627
    kx1pp177                4.6486981E-05          4.9048100E-02
    kx1pp178                5.4509041E-03          0.1515892
    kx1pp179                2.0005982E-04          5.6579800E-02
    kx1pp180                1.2177987E-04          3.7299700E-02
    kx1pp181                1.1961244E-04          2.0232200E-02
    kx1pp182                3.2440896E-05          1.0982000E-02
    kx1pp183                3.1923359E-06          6.3472000E-03
    kx1pp184                3.2807998E-05          5.6756000E-03
    kx1pp185                2.2469488E-05          6.1477000E-03
    kx1pp186                3.9103272E-05          6.4728000E-03
    kx1pp187                3.1865262E-04          9.2527000E-03
    kx1pp188                5.1925073E-05          1.3540700E-02
    kx1pp189                6.6911379E-05          2.3215100E-02
    kx1pp190                8.4856274E-05          3.3699800E-02
    kx1pp191                1.7772902E-04          5.3776900E-02
    kx1pp192                2.4675489E-04          4.5611800E-02
    kx1pp193                7.0047770E-04          3.3842800E-02
    kx1pp194                1.8059923E-04          2.6859400E-02
    kx1pp195                9.4983049E-05          1.5040100E-02
    kx1pp196                6.8961830E-05          9.0155000E-03
    kx1pp197                4.5183346E-05          4.3778000E-03
    kx1pp198                4.5660013E-04          7.1441700E-02
    kx1pp199                1.8312700E-03          9.3943500E-02
    kx1pp200                4.3566234E-04          8.0557400E-02
    kx1pp201                2.5908125E-02          0.1585389
    kx1pp202                1.7751247E-04          2.5657800E-02
    kx1pp203                2.0518640E-04          2.1183800E-02
    kx1pp204                5.7597304E-04          1.5356200E-02
    kx1pp205                3.3002154E-04          1.7665100E-02
    kx1pp206                4.4325506E-03          2.9239100E-02
    kx1pp207                3.1830449E-04          3.4292900E-02
    kx1pp208                1.6274763E-04          6.6992000E-02
    kx1pp209                3.4482624E-04          3.8848000E-02
    kx1pp210                1.0324539E-03          1.3047700E-02
    kx1pp211                1.9617068E-03          1.7176900E-02
    kx1pp212                1.4556285E-04          2.3043000E-03
    kx1pp213                1.1569327E-03          7.7742000E-03
    kx1pp214                1.8528982E-03          1.1406700E-02
    kx1pp215                3.7960503E-03          1.9056900E-02
    kx1pp216                3.1003832E-03          2.7462300E-02
    kx1pp217                1.4803397E-03          2.4457000E-02
    kx1pp218                2.3687224E-03          3.3101800E-02
    kx1pp219                7.5236699E-04          4.1879000E-02
    kx1pp220                8.2795935E-04          3.3258800E-02
    kx1pp221                1.0636904E-03          4.3536300E-02
    kx1pp222                6.8983368E-04          5.9288300E-02
    kx1pp223                2.1615745E-03          7.5744300E-02
    kx1pp224                8.7279697E-04          5.6699500E-02
    kx1pp225                7.3739424E-04          5.6869100E-02
    kx1pp226                1.3523391E-03          5.3875400E-02
    kx1pp227                1.3885359E-03          3.2002800E-02
    kx1pp228                1.5030800E-03          4.3419800E-02
    kx1pp229                7.1960119E-03          2.9462300E-02
    kx1pp230                2.9588992E-03          4.1842900E-02
    kx1pp231                5.0214731E-03          3.4764800E-02
    kx1pp232                4.9354269E-03          1.7034800E-02
    kx1pp233                4.7747233E-04          3.2847000E-03
    kx1pp234                2.2787288E-03          2.4402500E-02
    kx1pp235                6.0817029E-05          2.8884900E-02
    kx1pp236                6.1092539E-03          2.9531900E-02
    kx1pp237                1.0406139E-02          2.6285200E-02
    kx1pp238                5.7718484E-03          2.7280400E-02
    kx1pp239                4.8862721E-03          3.0953200E-02
    kx1pp240                8.5602489E-03          3.0861700E-02
    kx1pp241                1.2772732E-03          2.6025700E-02
    kx1pp242                1.4396752E-03          2.2351800E-02
    kx1pp243                5.7572996E-04          2.4247300E-02
    kx1pp244                1.0901493E-03          2.9742900E-02
    kx1pp245                4.0717624E-04          3.3015700E-02
    kx1pp246                7.3901663E-04          5.3699100E-02
    kx1pp247                6.9281813E-04          4.0656100E-02
    kx1pp248                4.7506499E-04          2.0432200E-02
    kx1pp249                2.2784456E-04          1.3021800E-02
    kx1pp250                3.1158131E-04          1.9243400E-02
    kx1pp251                4.4609877E-04          1.5094300E-02
    kx1pp252                2.8093924E-05          9.8475000E-03
    kx1pp253                7.0011282E-05          1.0835600E-02
    kx1pp254                7.5928187E-04          1.7950500E-02
    kx1pp255                4.1662951E-04          1.4740700E-02
    kx1pp256                2.2339502E-04          1.3648800E-02
    kx1pp257                3.6864899E-04          1.2069400E-02
    kx1pp258                7.5440073E-05          9.9994000E-03
    kx1pp259                1.3794841E-04          8.4067000E-03
    kx1pp260                2.9229362E-04          6.2265000E-03
    kx1pp261                6.9327669E-05          6.8872000E-03
    kx1pp262                2.6877056E-04          7.3683000E-03
    kx1pp263                1.8593883E-04          5.9563000E-03
    kx1pp264                2.3987495E-05          5.2890000E-03
    kx1pp265                3.3791593E-05          1.4052600E-02
    kx1pp266                4.9914768E-04          2.8684700E-02
    kx1pp267                2.8782968E-04          5.1288300E-02
    kx1pp268                7.6187824E-03          7.0228800E-02
    kx1pp269                2.8700871E-02          0.1050459
    kx1pp270                8.8718319E-04          8.4254600E-02
    kx1pp271                9.2349493E-04          0.1287542
    kx1pp272                5.0031267E-04          0.1868127
    kx1pp273                8.5833669E-04          0.1740759
    kx1pp274                2.6833272E-04          0.1187461
    kx1pp275                2.3392369E-02          0.1978762
    kx1pp276                3.7147366E-03          0.2342110
    kx1pp277                3.0684928E-04          0.2628791
    kx1pp278                1.1653071E-02          0.2916038
    kx1pp279                8.1549542E-04          0.2360118
    kx1pp280                2.5845221E-04          0.1654016
    kx1pp281                4.9433440E-03          0.3255969
    kx1pp282                4.6551703E-04          0.1712138
    kx1pp283                2.2909330E-04          0.1087816
    kx1pp284                3.0660151E-04          7.4745900E-02
    kx1pp285                4.1272393E-04          2.9263600E-02
    kx1pp286                8.2419403E-04          1.6979600E-02
    kx1pp287                2.5980435E-03          1.9972600E-02
    kx1pp288                4.4482941E-04          1.8826300E-02
    kx1pp289                3.3577697E-04          3.7370800E-02
    kx1pp290                1.4674870E-04          6.2194500E-02
    kx1pp291                1.7678716E-04          0.1194203
    kx1pp292                2.8598321E-04          0.1688564
    kx1pp293                2.3686078E-03          1.9785600E-02
    kx1pp294                2.7526869E-03          2.5905100E-02
    kx1pp295                3.1122765E-03          2.8879000E-02
    kx1pp296                3.7057393E-04          2.8643800E-02
    kx1pp297                5.6132571E-04          5.0294100E-02
    kx1pp298                9.8685564E-05          1.8904800E-02
    kx1pp299                3.0614702E-04          1.2979700E-02
    kx1pp300                1.8796513E-04          1.7777700E-02
    kx1pp301                1.9552266E-04          3.5596200E-02
    kx1pp302                3.3138252E-04          1.4522800E-02
    kx1pp303                4.2429372E-04          1.1516500E-02
    kx1pp304                4.5229499E-04          1.0726800E-02
    kx1pp305                4.8431320E-04          9.8166000E-03
    kx1pp306                6.2563321E-04          9.6274000E-03
    kx1pp307                3.1142455E-04          1.0760400E-02
    kx1pp308                7.5893634E-04          6.1393800E-02
    kx1pp309                1.4897329E-03          8.3407900E-02
    kx1pp310                1.6901826E-03          8.1384500E-02
    kx1pp311                4.2586431E-03          9.7101000E-02
    kx1pp312                1.7115036E-02          9.9426700E-02
    kx1pp313                4.0434177E-04          8.1326800E-02
    kx1pp314                2.4250042E-04          5.5743000E-02
    kx1pp315                1.6436031E-03          8.3495200E-02
    kx1pp316                2.7233598E-03          0.1077080
    kx1pp317                2.3284171E-03          0.1149935
    kx1pp318                3.7070127E-04          0.1026021
    kx1pp319                2.3003973E-04          0.1050265
    kx1pp320                7.6308941E-04          7.9102700E-02
    kx1pp321                2.7127492E-04          5.7793200E-02
    kx1pp322                3.6508711E-04          3.9692600E-02
    kx1pp323                6.2279507E-05          2.6458300E-02
    kx1pp324                9.5436489E-05          1.9627000E-02
    kx1pp325                1.3309558E-06          1.3739800E-02
    kx1pp326                2.7572175E-03          9.5800900E-02
    kx1pp327                9.8495026E-04          9.8650200E-02
    kx1pp328                3.5848529E-04          9.7316000E-02
    kx1pp329                5.7461481E-03          9.3980600E-02
    kx1pp330                8.2450434E-04          8.7032800E-02
    kx1pp331                3.5776009E-03          7.8114000E-02
    kx1pp332                1.0541361E-03          7.9840500E-02
    kx1pp333                1.0896367E-03          8.1462300E-02
    kx1pp334                3.3644705E-03          8.4067000E-02
    kx1pp335                1.1935348E-03          7.1033100E-02
    kx1pp336                2.5121360E-03          6.2303100E-02
    kx1pp337                4.7702530E-04          7.8034600E-02
    kx1pp338                6.7240693E-04          6.2722200E-02
    kx1pp339                2.5660941E-03          7.3966700E-02
    kx1pp340                1.7327298E-03          6.8375800E-02
    kx1pp341                3.1553735E-04          5.1404600E-02
    kx1pp342                8.2118872E-04          3.8275300E-02
    kx1pp343                9.6645554E-04          2.5523700E-02
    kx1pp344                4.2267489E-04          4.3252000E-02
    kx1pp345                2.6828323E-04          3.5896100E-02
    kx1pp346                2.0774324E-04          1.7219100E-02
    kx1pp347                1.4389172E-04          1.6739200E-02
    kx1pp348                1.0112296E-03          3.9649100E-02
    kx1pp349                1.6004461E-04          3.4759100E-02
    kx1pp350                1.1071249E-03          4.7951200E-02
    kx1pp351                6.1462059E-03          8.7275000E-02
    kx1pp352                7.6356671E-04          6.5775400E-02
    kx1pp353                2.3301124E-04          6.7017100E-02
    kx1pp354                1.1111459E-02          9.5285700E-02
    kx1pp355                1.0260889E-02          9.8505600E-02
    kx1pp356                5.7487831E-04          7.6467400E-02
    kx1pp357                3.7503446E-03          9.7039400E-02
    kx1pp358                2.6051579E-03          0.1004262
    kx1pp359                1.8383616E-03          9.4586400E-02
    kx1pp360                1.0441768E-02          0.1048036
    kx1pp361                7.3544162E-03          0.1004858
    kx1pp362                7.2970497E-03          9.1899900E-02
    kx1pp363                4.3245717E-03          7.9731800E-02
    kx1pp364                5.2395646E-03          8.7888700E-02
    kx1pp365                4.6684660E-03          7.5249900E-02
    kx1pp366                9.8915547E-04          3.8328400E-02
    kx1pp367                5.3565227E-04          2.1495400E-02
    kx1pp368                6.6291777E-04          1.8792200E-02
    kx1pp369                2.2630354E-03          4.4961000E-02
    kx1pp370                3.6364712E-04          1.5958100E-02
    kx1pp371                3.7442221E-04          1.6376200E-02
    kx1pp372                3.3730640E-04          2.2332900E-02
    kx1pp373                4.0703445E-04          1.0534500E-02
    kx1pp374                9.0447779E-04          8.3023000E-03
    kx1pp375                9.9756238E-04          6.2554000E-03
    kx1pp376                2.1866606E-03          1.9062000E-02
    kx1pp377                1.7738160E-05          1.1009500E-02
    kx1pp378                2.3251265E-03          1.9547500E-02
    kx1pp379                1.7016148E-04          1.3240400E-02
    kx1pp380                9.6793799E-04          1.2180300E-02
