pointid               x            y           k1                 k2                 k3                k4
 pp39             3000.000       9000.000        9.6170350E-01      1.7602140E-01      1.0297256E-05     1.1853060E-01
 pp40             3500.000       9000.000        1.2599480E+00      1.5189780E-01      1.2576334E-05     1.2260580E-01
 pp41             4000.000       9000.000        1.6011230E+00      1.4849510E-01      9.8961273E-06     1.1797040E-01
 pp42             4500.000       9000.000        1.0734470E+00      1.3809580E-01      6.7123005E-06     7.7113979E-02
 pp43             5000.000       9000.000        6.5127940E-01      7.1077339E-02      4.5231081E-06     7.9661056E-02
 pp44             5500.000       9000.000        5.5829510E-01      1.0626860E-01      6.9695616E-06     5.8705047E-02
 pp45             6000.000       9000.000        4.6806850E-01      9.8085038E-02      1.0027872E-05     5.6723852E-02
 pp46             6500.000       9000.000        3.4245660E-01      1.3938100E-01      8.1208091E-06     7.8548677E-02
 pp47             7000.000       9000.000        2.9272560E-01      1.9070370E-01      1.3124118E-05     4.7916714E-02
 pp48             7500.000       9000.000        3.0219570E-01      2.0835950E-01      9.0693229E-06     5.8128137E-02
 pp49                0.000       8500.000        1.2565080E+00      7.5232744E-02      1.7272350E-05     1.1657890E-01
 pp50              500.000       8500.000        8.6976620E-01      5.9402183E-02      1.1676847E-05     1.3452350E-01
 pp51             1000.000       8500.000        9.1831270E-01      1.4854700E-01      1.6506416E-05     9.3718894E-02
 pp52             1500.000       8500.000        9.8519310E-01      2.0104680E-01      1.2126047E-05     1.2392380E-01
 pp53             2000.000       8500.000        8.0980540E-01      2.1012880E-01      1.2905363E-05     1.1329270E-01
 pp54             2500.000       8500.000        7.8240390E-01      1.3707180E-01      1.6977199E-05     1.0921130E-01
 pp55             3000.000       8500.000        6.0860400E-01      1.3605850E-01      1.8696670E-05     1.4090530E-01
 pp56             3500.000       8500.000        5.1024230E-01      1.4067140E-01      2.0411326E-05     8.8185199E-02
 pp57             4000.000       8500.000        8.2562900E-01      1.4147300E-01      1.4321145E-05     1.3626260E-01
 pp58             4500.000       8500.000        9.3635680E-01      1.2775050E-01      8.3962177E-06     9.9484742E-02
 pp59             5000.000       8500.000        7.7443480E-01      1.5939860E-01      6.8945396E-06     8.1623308E-02
 pp60             5500.000       8500.000        9.0224520E-01      1.6005050E-01      4.6219570E-06     1.0159360E-01
 pp61             6000.000       8500.000        5.9858040E-01      1.0026900E-01      7.1037107E-06     6.8240464E-02
 pp62             6500.000       8500.000        4.1494690E-01      8.3367042E-02      1.4585389E-05     9.3682215E-02
 pp63             7000.000       8500.000        2.7662640E-01      9.5288843E-02      1.1835325E-05     8.2688153E-02
 pp64             7500.000       8500.000        3.4649070E-01      1.9873300E-01      1.2385312E-05     4.9649920E-02
 pp65                0.000       8000.000        7.9982970E-01      1.3464990E-01      1.2281260E-05     7.0947915E-02
 pp66              500.000       8000.000        9.6769160E-01      1.0563040E-01      9.9054760E-06     7.0783176E-02
 pp67             1000.000       8000.000        1.6530560E+00      1.3237780E-01      1.3152117E-05     7.4640125E-02
 pp68             1500.000       8000.000        1.2900140E+00      1.8194410E-01      1.7254779E-05     6.9041260E-02
 pp69             2000.000       8000.000        1.9419800E+00      2.3162690E-01      1.4290437E-05     1.1601140E-01
 pp70             2500.000       8000.000        1.4993300E+00      1.4005720E-01      7.6430624E-06     7.0429824E-02
 pp71             3000.000       8000.000        6.5501270E-01      1.2281900E-01      1.7214303E-05     1.0974950E-01
 pp72             3500.000       8000.000        6.0567840E-01      1.6514970E-01      1.7815351E-05     7.8738101E-02
 pp73             4000.000       8000.000        4.0800870E-01      1.1325020E-01      7.8335834E-06     1.0796060E-01
 pp74             4500.000       8000.000        1.3126540E+00      7.5420819E-02      7.1904838E-06     7.9032734E-02
 pp75             5000.000       8000.000        8.5513760E-01      1.5750830E-01      5.8052274E-06     9.3130365E-02
 pp76             5500.000       8000.000        6.3309760E-01      1.2254550E-01      5.8064638E-06     8.5906923E-02
 pp77             6000.000       8000.000        4.4147280E-01      1.9773490E-01      6.5702102E-06     5.4265346E-02
 pp78             6500.000       8000.000        3.8207860E-01      1.0076170E-01      1.0704792E-05     6.6045657E-02
 pp79             7000.000       8000.000        2.7430520E-01      1.0259490E-01      7.8458497E-06     5.9265278E-02
 pp80             7500.000       8000.000        3.8200170E-01      6.4800896E-02      7.1829404E-06     6.3682631E-02
 pp81                0.000       7500.000        8.9986250E-01      9.7368225E-02      1.5441050E-05     1.1671440E-01
 pp82              500.000       7500.000        1.3573090E+00      1.6188310E-01      9.0364620E-06     1.2808550E-01
 pp83             1000.000       7500.000        1.5388880E+00      1.3550000E-01      1.0639385E-05     9.9768132E-02
 pp84             1500.000       7500.000        1.6783460E+00      1.6923080E-01      1.3742140E-05     8.8037908E-02
 pp85             2000.000       7500.000        1.8621880E+00      1.1305480E-01      7.4559061E-06     1.1020150E-01
 pp86             2500.000       7500.000        1.5473650E+00      1.6274150E-01      1.2689961E-05     1.4621930E-01
 pp87             3000.000       7500.000        1.2739590E+00      1.4526340E-01      1.1243867E-05     7.6963648E-02
 pp88             3500.000       7500.000        8.1595990E-01      7.9711981E-02      1.1879877E-05     7.3442809E-02
 pp89             4000.000       7500.000        5.1090010E-01      8.6502589E-02      7.0738929E-06     6.8600900E-02
 pp90             4500.000       7500.000        9.0292470E-01      1.0466990E-01      8.5732881E-06     8.6900458E-02
 pp91             5000.000       7500.000        8.5165270E-01      1.4236570E-01      6.6941952E-06     6.8792596E-02
 pp92             5500.000       7500.000        6.4566460E-01      1.2179530E-01      5.9334375E-06     4.9610209E-02
 pp93             6000.000       7500.000        3.4555480E-01      1.4189060E-01      3.9394372E-06     5.0110970E-02
 pp94             6500.000       7500.000        3.6134680E-01      1.2333260E-01      7.5774533E-06     3.6644734E-02
 pp95             7000.000       7500.000        4.1853340E-01      7.9756454E-02      7.9360398E-06     4.9052950E-02
 pp96             7500.000       7500.000        3.6964490E-01      9.0814613E-02      6.9155703E-06     6.4446308E-02
 pp97                0.000       7000.000        1.2409980E+00      1.4708820E-01      8.0044902E-06     9.1588311E-02
 pp98              500.000       7000.000        1.0006860E+00      1.0070810E-01      7.6734841E-06     1.0232900E-01
 pp99             1000.000       7000.000        2.7291150E+00      1.1333880E-01      1.4721888E-05     9.7242348E-02
 pp100            1500.000       7000.000        1.7456580E+00      1.4424950E-01      1.6446682E-05     6.6470541E-02
 pp101            2000.000       7000.000        2.3223460E+00      9.8163180E-02      1.1163198E-05     7.9720840E-02
 pp102            2500.000       7000.000        1.9365520E+00      1.2717500E-01      1.1631410E-05     1.2132420E-01
 pp103            3000.000       7000.000        8.6936030E-01      1.0915480E-01      1.6177926E-05     1.4024980E-01
 pp104            3500.000       7000.000        9.5137470E-01      1.1509910E-01      1.1468205E-05     9.5914759E-02
 pp105            4000.000       7000.000        6.6557120E-01      9.5020339E-02      1.5649533E-05     7.4012794E-02
 pp106            4500.000       7000.000        6.4088850E-01      1.5807530E-01      1.3563415E-05     6.0805075E-02
 pp107            5000.000       7000.000        8.9207040E-01      1.8831900E-01      9.7717020E-06     5.2773446E-02
 pp108            5500.000       7000.000        5.0994800E-01      9.8232776E-02      8.2625438E-06     5.2440457E-02
 pp109            6000.000       7000.000        3.6446020E-01      1.0012230E-01      8.8916768E-06     4.7455892E-02
 pp110            6500.000       7000.000        5.1721510E-01      9.8589316E-02      7.1006771E-06     4.2770345E-02
 pp111            7000.000       7000.000        7.0969400E-01      8.7553710E-02      5.2104310E-06     3.8657553E-02
 pp112            7500.000       7000.000        4.8194510E-01      1.3293990E-01      7.8312360E-06     4.4756822E-02
 pp113               0.000       6500.000        1.1381130E+00      9.2458338E-02      3.9990982E-06     1.1106730E-01
 pp114             500.000       6500.000        1.7625970E+00      1.2994490E-01      6.0502070E-06     5.2007787E-02
 pp115            1000.000       6500.000        2.7682070E+00      1.2935220E-01      8.0767750E-06     7.2419047E-02
 pp116            1500.000       6500.000        2.6129860E+00      9.0970673E-02      8.4665362E-06     8.2287185E-02
 pp117            2000.000       6500.000        2.3131950E+00      1.0352260E-01      1.1959697E-05     9.3236409E-02
 pp118            2500.000       6500.000        1.1698040E+00      1.1392190E-01      9.4366587E-06     9.2491135E-02
 pp119            3000.000       6500.000        1.3765310E+00      1.2259240E-01      1.2458894E-05     2.1051420E-01
 pp120            3500.000       6500.000        1.0434700E+00      8.1346080E-02      1.2756373E-05     2.0248140E-01
 pp121            4000.000       6500.000        8.2232120E-01      1.3091410E-01      8.7906737E-06     1.1407530E-01
 pp122            4500.000       6500.000        9.4124230E-01      2.3393650E-01      1.0083251E-05     5.0033864E-02
 pp123            5000.000       6500.000        2.0324040E+00      1.6797750E-01      8.7838625E-06     5.9497155E-02
 pp124            5500.000       6500.000        5.9059770E-01      1.0047520E-01      8.4842077E-06     7.6986998E-02
 pp125            6000.000       6500.000        3.2563290E-01      7.3037736E-02      1.1155883E-05     9.8109841E-02
 pp126            6500.000       6500.000        4.8269020E-01      5.6701045E-02      1.0124975E-05     6.2442873E-02
 pp127            7000.000       6500.000        9.2803400E-01      9.0409726E-02      6.3494804E-06     3.8373135E-02
 pp128            7500.000       6500.000        1.1261540E+00      1.0451920E-01      6.9946141E-06     4.6747774E-02
 pp129               0.000       6000.000        5.6685860E-01      1.2642850E-01      5.2169112E-06     9.4037727E-02
 pp130             500.000       6000.000        1.3645780E+00      1.6229120E-01      5.4475868E-06     6.1089374E-02
 pp131            1000.000       6000.000        2.8920510E+00      1.1984960E-01      3.5133587E-06     8.6787201E-02
 pp132            1500.000       6000.000        2.2581720E+00      1.1535880E-01      7.7156410E-06     9.8794252E-02
 pp133            2000.000       6000.000        1.8745890E+00      1.3932820E-01      6.1558435E-06     1.1205630E-01
 pp134            2500.000       6000.000        1.1503940E+00      1.0193440E-01      8.1385188E-06     1.2293140E-01
 pp135            3000.000       6000.000        9.9515340E-01      1.0038950E-01      7.1592176E-06     1.9825020E-01
 pp136            3500.000       6000.000        8.5956760E-01      9.5249668E-02      7.8464873E-06     1.7582000E-01
 pp137            4000.000       6000.000        9.6389390E-01      2.0401690E-01      5.6078879E-06     7.7960424E-02
 pp138            4500.000       6000.000        1.2176810E+00      1.4421680E-01      8.3932409E-06     7.5961664E-02
 pp139            5000.000       6000.000        9.7516630E-01      1.3782060E-01      4.0528489E-06     1.0298370E-01
 pp140            5500.000       6000.000        6.5851790E-01      8.4983133E-02      6.5128238E-06     6.8739347E-02
 pp141            6000.000       6000.000        8.6291530E-01      5.5384081E-02      8.8046709E-06     6.2553555E-02
 pp142            6500.000       6000.000        6.1520610E-01      5.0526597E-02      1.0791019E-05     3.2331210E-02
 pp143            7000.000       6000.000        7.7904300E-01      6.3961595E-02      1.0409076E-05     6.5285675E-02
 pp144            7500.000       6000.000        1.1079420E+00      9.1032073E-02      1.0190543E-05     3.3707712E-02
 pp145               0.000       5500.000        3.2865440E-01      1.5203020E-01      5.6313838E-06     1.2813180E-01
 pp146             500.000       5500.000        1.2119930E+00      1.2345220E-01      4.6605942E-06     1.0265450E-01
 pp147            1000.000       5500.000        1.9100840E+00      1.1743830E-01      3.3754579E-06     5.9073191E-02
 pp148            1500.000       5500.000        2.1254680E+00      1.3627170E-01      3.1881209E-06     1.4717710E-01
 pp149            2000.000       5500.000        1.2097180E+00      1.2575710E-01      3.8380890E-06     1.9267570E-01
 pp150            2500.000       5500.000        8.0221640E-01      1.2878010E-01      6.1768724E-06     1.3963760E-01
 pp151            3000.000       5500.000        7.8492700E-01      1.7323470E-01      6.1544852E-06     2.3561600E-01
 pp152            3500.000       5500.000        7.3285390E-01      2.4968070E-01      5.9358549E-06     2.9472630E-01
 pp153            4000.000       5500.000        8.2685210E-01      1.2814650E-01      4.2052625E-06     9.3072124E-02
 pp154            4500.000       5500.000        1.3041550E+00      2.4598160E-01      5.2652713E-06     9.0989999E-02
 pp155            5000.000       5500.000        9.9261970E-01      2.3332980E-01      6.3747252E-06     9.8413520E-02
 pp156            5500.000       5500.000        7.3315040E-01      1.0580180E-01      6.4550600E-06     4.4798929E-02
 pp157            6000.000       5500.000        7.5196270E-01      8.7843254E-02      8.2962151E-06     6.8325557E-02
 pp158            6500.000       5500.000        7.1086250E-01      4.9266029E-02      1.0254260E-05     6.2529676E-02
 pp159            7000.000       5500.000        8.7440970E-01      5.5918206E-02      7.2087205E-06     4.2421114E-02
 pp160            7500.000       5500.000        7.8011220E-01      9.4910756E-02      7.5259968E-06     3.2629933E-02
 pp161               0.000       5000.000        5.0083170E-01      1.0725610E-01      5.3457397E-06     1.1709390E-01
 pp162             500.000       5000.000        4.1549030E-01      1.2435110E-01      2.7437918E-06     8.6076230E-02
 pp163            1000.000       5000.000        1.0582320E+00      9.7557180E-02      2.9588064E-06     7.5028643E-02
 pp164            1500.000       5000.000        9.9414740E-01      1.0195500E-01      2.5818983E-06     5.2922439E-02
 pp165            2000.000       5000.000        7.8361700E-01      1.2239960E-01      4.0327368E-06     7.2414473E-02
 pp166            2500.000       5000.000        7.4284330E-01      1.4333370E-01      5.7769830E-06     1.8485440E-01
 pp167            3000.000       5000.000        8.1529190E-01      1.7874600E-01      5.0377171E-06     2.5585960E-01
 pp168            3500.000       5000.000        7.0612310E-01      2.0720430E-01      6.9081411E-06     2.0619580E-01
 pp169            4000.000       5000.000        2.0981140E+00      3.1087910E-01      4.7585800E-06     1.7794000E-01
 pp170            4500.000       5000.000        1.6109740E+00      2.2248090E-01      4.7323929E-06     1.1443790E-01
 pp171            5000.000       5000.000        1.2667200E+00      1.0846910E-01      6.4961409E-06     1.2565720E-01
 pp172            5500.000       5000.000        6.6214170E-01      1.3437860E-01      5.6204503E-06     8.4793575E-02
 pp173            6000.000       5000.000        1.1164920E+00      1.0943240E-01      8.4911781E-06     8.0528781E-02
 pp174            6500.000       5000.000        9.7589360E-01      6.4034358E-02      1.2253621E-05     4.7523104E-02
 pp175            7000.000       5000.000        1.1295390E+00      6.4591810E-02      1.0780030E-05     6.0198870E-02
 pp176            7500.000       5000.000        1.3713670E+00      9.2943147E-02      1.2975736E-05     4.0896654E-02
 pp177               0.000       4500.000        3.9852120E-01      1.5863350E-01      1.0665665E-05     1.0325820E-01
 pp178             500.000       4500.000        4.9680140E-01      1.1906410E-01      5.1446254E-06     9.7870670E-02
 pp179            1000.000       4500.000        8.2697420E-01      1.0436310E-01      2.2822096E-06     7.6840229E-02
 pp180            1500.000       4500.000        9.2405870E-01      1.1354480E-01      6.2039576E-06     5.7191547E-02
 pp181            2000.000       4500.000        4.7497020E-01      1.3260550E-01      5.0794283E-06     9.6792936E-02
 pp182            2500.000       4500.000        7.0342290E-01      1.6819140E-01      3.8188455E-06     1.1125130E-01
 pp183            3000.000       4500.000        9.0878060E-01      1.5296340E-01      6.1278379E-06     1.2297710E-01
 pp184            3500.000       4500.000        1.6491370E+00      1.5633000E-01      8.2796350E-06     1.7314630E-01
 pp185            4000.000       4500.000        1.8639560E+00      1.0340210E-01      7.3172987E-06     2.0961440E-01
 pp186            4500.000       4500.000        2.1504500E+00      1.4199780E-01      5.7024695E-06     1.6014040E-01
 pp187            5000.000       4500.000        1.1591820E+00      1.1143350E-01      6.6184521E-06     1.7587620E-01
 pp188            5500.000       4500.000        1.2027320E+00      9.4989285E-02      5.1857583E-06     8.9563176E-02
 pp189            6000.000       4500.000        1.0072460E+00      8.0605589E-02      6.7337514E-06     6.3368641E-02
 pp190            6500.000       4500.000        8.3238180E-01      8.7425932E-02      1.3497440E-05     5.4564267E-02
 pp191            7000.000       4500.000        1.0018800E+00      1.1945380E-01      1.3908965E-05     4.1281212E-02
 pp192            7500.000       4500.000        5.9922460E-01      7.6551370E-02      1.6558222E-05     4.4941273E-02
 pp193               0.000       4000.000        4.9757620E-01      1.1703010E-01      1.6681999E-05     1.2742200E-01
 pp194             500.000       4000.000        6.2044790E-01      9.5362186E-02      7.4445520E-06     8.4095821E-02
 pp195            1000.000       4000.000        8.0196640E-01      4.9362097E-02      3.6014117E-06     5.3795539E-02
 pp196            1500.000       4000.000        7.1044270E-01      7.5854257E-02      5.9163740E-06     5.0189726E-02
 pp197            2000.000       4000.000        9.6625620E-01      1.6707050E-01      5.7867915E-06     5.6331214E-02
 pp198            2500.000       4000.000        5.4682090E-01      1.3990940E-01      3.6656243E-06     4.0563058E-02
 pp199            3000.000       4000.000        5.7652620E-01      1.0864590E-01      8.7547469E-06     6.9039896E-02
 pp200            3500.000       4000.000        6.4032510E-01      8.3272152E-02      6.1352298E-06     1.2266350E-01
 pp201            4000.000       4000.000        9.6035480E-01      1.7636990E-01      6.0419752E-06     1.7360830E-01
 pp202            4500.000       4000.000        1.7240760E+00      9.8137394E-02      5.9994768E-06     9.9083722E-02
 pp203            5000.000       4000.000        1.8346210E+00      9.1307469E-02      7.3844408E-06     1.6543790E-01
 pp204            5500.000       4000.000        1.2224190E+00      7.3946185E-02      9.5848227E-06     8.3916701E-02
 pp205            6000.000       4000.000        1.6552730E+00      8.9486063E-02      5.6800118E-06     5.8421660E-02
 pp206            6500.000       4000.000        2.2263430E+00      8.4940106E-02      9.9625859E-06     5.7301417E-02
 pp207            7000.000       4000.000        1.3369670E+00      9.5332563E-02      1.6206657E-05     5.3607423E-02
 pp208            7500.000       4000.000        5.9119550E-01      6.6588089E-02      1.6507540E-05     4.1410923E-02
 pp209               0.000       3500.000        6.5460830E-01      5.7906762E-02      8.2175702E-06     1.8866250E-01
 pp210             500.000       3500.000        6.3311990E-01      5.4105695E-02      6.2542672E-06     8.2663596E-02
 pp211            1000.000       3500.000        6.6160300E-01      5.4487471E-02      4.0016548E-06     5.5235691E-02
 pp212            1500.000       3500.000        7.4503170E-01      1.0638090E-01      5.2218452E-06     4.0249184E-02
 pp213            2000.000       3500.000        1.1903210E+00      1.5300610E-01      7.2348153E-06     2.5766408E-02
 pp214            2500.000       3500.000        6.1429640E-01      6.9464117E-02      7.9681267E-06     4.1541025E-02
 pp215            3000.000       3500.000        4.2554500E-01      6.4636610E-02      6.5081563E-06     8.4108934E-02
 pp216            3500.000       3500.000        6.3373980E-01      1.2960940E-01      9.3382068E-06     1.5866740E-01
 pp217            4000.000       3500.000        1.0328070E+00      1.4218970E-01      6.7086535E-06     1.6675830E-01
 pp218            4500.000       3500.000        1.1653520E+00      6.5446168E-02      5.3812319E-06     1.6404210E-01
 pp219            5000.000       3500.000        1.5150640E+00      1.6896800E-01      7.6662500E-06     2.0902170E-01
 pp220            5500.000       3500.000        1.4197810E+00      1.1767690E-01      7.3612400E-06     7.9349816E-02
 pp221            6000.000       3500.000        1.7597890E+00      7.8805298E-02      7.3559968E-06     4.5569934E-02
 pp222            6500.000       3500.000        2.3320570E+00      1.1548720E-01      9.7865086E-06     5.7291146E-02
 pp223            7000.000       3500.000        1.8716210E+00      8.5727215E-02      1.9163886E-05     4.1818105E-02
 pp224            7500.000       3500.000        1.0360520E+00      1.3707850E-01      1.3981509E-05     2.2436501E-02
 pp225               0.000       3000.000        7.5188140E-01      1.0037430E-01      7.0114838E-06     1.7778590E-01
 pp226             500.000       3000.000        7.7226820E-01      6.6887200E-02      5.0698504E-06     1.5267980E-01
 pp227            1000.000       3000.000        7.1294520E-01      5.4213520E-02      3.7075704E-06     7.3841490E-02
 pp228            1500.000       3000.000        7.2125360E-01      1.0127580E-01      3.0891879E-06     5.1727176E-02
 pp229            2000.000       3000.000        1.1343240E+00      9.7681589E-02      5.4925645E-06     2.8993644E-02
 pp230            2500.000       3000.000        8.1138290E-01      6.4204037E-02      4.8494749E-06     5.3129513E-02
 pp231            3000.000       3000.000        9.9659440E-01      9.1135077E-02      6.4838350E-06     1.4823900E-01
 pp232            3500.000       3000.000        5.8187180E-01      9.4846219E-02      8.4261865E-06     1.9865100E-01
 pp233            4000.000       3000.000        7.4312440E-01      1.3837670E-01      8.4590465E-06     1.5728200E-01
 pp234            4500.000       3000.000        1.2162950E+00      1.4833420E-01      8.9221394E-06     2.0772310E-01
 pp235            5000.000       3000.000        1.1335030E+00      1.4792000E-01      6.6691127E-06     1.4801610E-01
 pp236            5500.000       3000.000        1.3276330E+00      6.2177733E-02      4.9183259E-06     1.5782230E-01
 pp237            6000.000       3000.000        1.2532120E+00      6.7767270E-02      1.1150115E-05     5.7212256E-02
 pp238            6500.000       3000.000        1.5457520E+00      7.9798430E-02      1.3005689E-05     4.3825511E-02
 pp239            7000.000       3000.000        9.7806640E-01      1.2175090E-01      1.2055609E-05     4.1129313E-02
 pp240            7500.000       3000.000        1.6406140E+00      1.4672340E-01      1.4454123E-05     2.4511786E-02
 pp241               0.000       2500.000        5.8883680E-01      2.5488510E-01      7.7695713E-06     1.0096090E-01
 pp242             500.000       2500.000        6.8434410E-01      1.3807650E-01      8.3307177E-06     1.8227370E-01
 pp243            1000.000       2500.000        7.1659770E-01      1.6381390E-01      6.6390126E-06     9.3628280E-02
 pp244            1500.000       2500.000        8.7041530E-01      1.7699450E-01      4.9548357E-06     6.0962923E-02
 pp245            2000.000       2500.000        1.0885480E+00      1.1495560E-01      6.0578509E-06     6.8001628E-02
 pp246            2500.000       2500.000        7.2570350E-01      1.4861140E-01      6.2548029E-06     7.1791321E-02
 pp247            3000.000       2500.000        5.2794870E-01      1.1457530E-01      9.3939843E-06     1.1245200E-01
 pp248            3500.000       2500.000        7.7111770E-01      9.1835417E-02      6.9119419E-06     2.1870050E-01
 pp249            4000.000       2500.000        4.5137160E-01      1.4029030E-01      1.8619459E-05     1.6692740E-01
 pp250            4500.000       2500.000        6.0571470E-01      3.9709620E-01      1.4416053E-05     2.1855550E-01
 pp251            5000.000       2500.000        9.3964560E-01      2.3186510E-01      1.2664698E-05     1.7043870E-01
 pp252            5500.000       2500.000        1.5823390E+00      1.2194860E-01      9.3045965E-06     1.6757750E-01
 pp253            6000.000       2500.000        1.2823280E+00      7.6282904E-02      4.2435554E-06     4.3656100E-02
 pp254            6500.000       2500.000        1.6974920E+00      1.0882450E-01      7.1654849E-06     2.3555929E-02
 pp255            7000.000       2500.000        1.6425550E+00      1.8869220E-01      7.1360901E-06     3.0819675E-02
 pp256            7500.000       2500.000        1.6073470E+00      8.2762696E-02      9.1498077E-06     2.6138702E-02
 pp257               0.000       2000.000        5.2465250E-01      2.3536810E-01      7.3711153E-06     8.3318979E-02
 pp258             500.000       2000.000        5.1290340E-01      3.1630240E-01      3.9547308E-06     8.3690897E-02
 pp259            1000.000       2000.000        7.4893050E-01      3.4350370E-01      6.3046109E-06     1.0891330E-01
 pp260            1500.000       2000.000        8.8563530E-01      2.5118190E-01      3.1918300E-06     7.4270479E-02
 pp261            2000.000       2000.000        6.4761070E-01      1.6237680E-01      3.3257763E-06     9.8277465E-02
 pp262            2500.000       2000.000        9.3473400E-01      1.8518100E-01      4.8617471E-06     9.5329314E-02
 pp263            3000.000       2000.000        3.4052720E-01      1.4835000E-01      1.1216777E-05     1.4222000E-01
 pp264            3500.000       2000.000        4.0114950E-01      1.3101890E-01      1.0741466E-05     2.3407490E-01
 pp265            4000.000       2000.000        5.0201300E-01      1.0986690E-01      9.5344731E-06     1.8006220E-01
 pp266            4500.000       2000.000        7.5295130E-01      2.3057970E-01      1.7431812E-05     2.1771960E-01
 pp267            5000.000       2000.000        8.9986250E-01      2.2575930E-01      1.3619136E-05     2.3491320E-01
 pp268            5500.000       2000.000        1.0845130E+00      1.4259000E-01      9.8867986E-06     1.8596680E-01
 pp269            6000.000       2000.000        2.2085730E+00      1.2092580E-01      4.3045980E-06     5.0901879E-02
 pp270            6500.000       2000.000        3.8931090E+00      1.3959580E-01      3.8099499E-06     4.9897578E-02
 pp271            7000.000       2000.000        1.7133550E+00      2.0742840E-01      9.8017026E-06     2.8650492E-02
 pp272            7500.000       2000.000        1.2495040E+00      1.0152590E-01      1.5094764E-05     4.5191385E-02
 pp273               0.000       1500.000        6.9448320E-01      2.0558700E-01      8.1817834E-06     5.1621348E-02
 pp274             500.000       1500.000        1.3526240E+00      3.0041670E-01      3.8000362E-06     9.2452325E-02
