pointid               x            y             kh1           kh2            kh3          kh4
 pp95             7000.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp96             7500.000       7500.000        1.0           0.1           1.0e-5       0.05
 pp97                0.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp98              500.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp99             1000.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp100            1500.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp101            2000.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp102            2500.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp103            3000.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp104            3500.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp105            4000.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp106            4500.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp107            5000.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp108            5500.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp109            6000.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp110            6500.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp111            7000.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp112            7500.000       7000.000        1.0           0.1           1.0e-5       0.05
 pp113               0.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp114             500.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp115            1000.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp116            1500.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp117            2000.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp118            2500.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp119            3000.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp120            3500.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp121            4000.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp122            4500.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp123            5000.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp124            5500.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp125            6000.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp126            6500.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp127            7000.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp128            7500.000       6500.000        1.0           0.1           1.0e-5       0.05
 pp129               0.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp130             500.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp131            1000.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp132            1500.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp133            2000.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp134            2500.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp135            3000.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp136            3500.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp137            4000.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp138            4500.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp139            5000.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp140            5500.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp141            6000.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp142            6500.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp143            7000.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp144            7500.000       6000.000        1.0           0.1           1.0e-5       0.05
 pp145               0.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp146             500.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp147            1000.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp148            1500.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp149            2000.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp150            2500.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp151            3000.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp152            3500.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp153            4000.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp154            4500.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp155            5000.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp156            5500.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp157            6000.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp158            6500.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp159            7000.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp160            7500.000       5500.000        1.0           0.1           1.0e-5       0.05
 pp161               0.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp162             500.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp163            1000.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp164            1500.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp165            2000.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp166            2500.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp167            3000.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp168            3500.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp169            4000.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp170            4500.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp171            5000.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp172            5500.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp173            6000.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp174            6500.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp175            7000.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp176            7500.000       5000.000        1.0           0.1           1.0e-5       0.05
 pp177               0.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp178             500.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp179            1000.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp180            1500.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp181            2000.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp182            2500.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp183            3000.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp184            3500.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp185            4000.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp186            4500.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp187            5000.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp188            5500.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp189            6000.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp190            6500.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp191            7000.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp192            7500.000       4500.000        1.0           0.1           1.0e-5       0.05
 pp193               0.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp194             500.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp195            1000.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp196            1500.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp197            2000.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp198            2500.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp199            3000.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp200            3500.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp201            4000.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp202            4500.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp203            5000.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp204            5500.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp205            6000.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp206            6500.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp207            7000.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp208            7500.000       4000.000        1.0           0.1           1.0e-5       0.05
 pp209               0.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp210             500.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp211            1000.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp212            1500.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp213            2000.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp214            2500.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp215            3000.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp216            3500.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp217            4000.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp218            4500.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp219            5000.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp220            5500.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp221            6000.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp222            6500.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp223            7000.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp224            7500.000       3500.000        1.0           0.1           1.0e-5       0.05
 pp225               0.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp226             500.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp227            1000.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp228            1500.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp229            2000.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp230            2500.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp231            3000.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp232            3500.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp233            4000.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp234            4500.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp235            5000.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp236            5500.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp237            6000.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp238            6500.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp239            7000.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp240            7500.000       3000.000        1.0           0.1           1.0e-5       0.05
 pp241               0.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp242             500.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp243            1000.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp244            1500.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp245            2000.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp246            2500.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp247            3000.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp248            3500.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp249            4000.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp250            4500.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp251            5000.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp252            5500.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp253            6000.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp254            6500.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp255            7000.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp256            7500.000       2500.000        1.0           0.1           1.0e-5       0.05
 pp257               0.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp258             500.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp259            1000.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp260            1500.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp261            2000.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp262            2500.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp263            3000.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp264            3500.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp265            4000.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp266            4500.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp267            5000.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp268            5500.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp269            6000.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp270            6500.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp271            7000.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp272            7500.000       2000.000        1.0           0.1           1.0e-5       0.05
 pp273               0.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp274             500.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp275            1000.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp276            1500.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp277            2000.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp278            2500.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp279            3000.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp280            3500.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp281            4000.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp282            4500.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp283            5000.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp284            5500.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp285            6000.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp286            6500.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp287            7000.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp288            7500.000       1500.000        1.0           0.1           1.0e-5       0.05
 pp289               0.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp290             500.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp291            1000.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp292            1500.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp293            2000.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp294            2500.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp295            3000.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp296            3500.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp297            4000.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp298            4500.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp299            5000.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp300            5500.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp301            6000.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp302            6500.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp303            7000.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp304            7500.000       1000.000        1.0           0.1           1.0e-5       0.05
 pp305               0.000        500.000        1.0           0.1           1.0e-5       0.05
 pp306             500.000        500.000        1.0           0.1           1.0e-5       0.05
 pp307            1000.000        500.000        1.0           0.1           1.0e-5       0.05
 pp308            1500.000        500.000        1.0           0.1           1.0e-5       0.05
 pp309            2000.000        500.000        1.0           0.1           1.0e-5       0.05
 pp310            2500.000        500.000        1.0           0.1           1.0e-5       0.05
 pp311            3000.000        500.000        1.0           0.1           1.0e-5       0.05
 pp312            3500.000        500.000        1.0           0.1           1.0e-5       0.05
 pp313            4000.000        500.000        1.0           0.1           1.0e-5       0.05
 pp314            4500.000        500.000        1.0           0.1           1.0e-5       0.05
 pp315            5000.000        500.000        1.0           0.1           1.0e-5       0.05
 pp316            5500.000        500.000        1.0           0.1           1.0e-5       0.05
 pp317            6000.000        500.000        1.0           0.1           1.0e-5       0.05
 pp318            6500.000        500.000        1.0           0.1           1.0e-5       0.05
 pp319            7000.000        500.000        1.0           0.1           1.0e-5       0.05
 pp320            7500.000        500.000        1.0           0.1           1.0e-5       0.05
 pp321               0.000          0.000        1.0           0.1           1.0e-5       0.05
 pp322             500.000          0.000        1.0           0.1           1.0e-5       0.05
 pp323            1000.000          0.000        1.0           0.1           1.0e-5       0.05
 pp324            1500.000          0.000        1.0           0.1           1.0e-5       0.05
 pp325            2000.000          0.000        1.0           0.1           1.0e-5       0.05
 pp326            2500.000          0.000        1.0           0.1           1.0e-5       0.05
 pp327            3000.000          0.000        1.0           0.1           1.0e-5       0.05
 pp328            3500.000          0.000        1.0           0.1           1.0e-5       0.05
 pp329            4000.000          0.000        1.0           0.1           1.0e-5       0.05
 pp330            4500.000          0.000        1.0           0.1           1.0e-5       0.05
 pp331            5000.000          0.000        1.0           0.1           1.0e-5       0.05
 pp332            5500.000          0.000        1.0           0.1           1.0e-5       0.05
 pp333            6000.000          0.000        1.0           0.1           1.0e-5       0.05
 pp334            6500.000          0.000        1.0           0.1           1.0e-5       0.05
 pp335            7000.000          0.000        1.0           0.1           1.0e-5       0.05
 pp336            7500.000          0.000        1.0           0.1           1.0e-5       0.05
