ParSetIndex,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
k_ppt25,0.9144463,0.4400043,1.173980,2.821075,0.8053993,0.2319763,1.046980,1.257573,1.020304,0.6385330,0.5351867,0.9008551,5.470455,1.685560,1.367083,0.7563528,0.9563364,0.4964645,0.4440896,0.4332137,2.006564,2.441862,4.052669,1.056234,1.367461,2.997860,6.545262,2.809472,1.744775,5.396513,0.3988909,0.6222834,3.478940,1.186224,0.8876545,0.3652418,0.3852940,0.7583088,0.9372698,1.448734,1.114182,0.4549718,0.2717157,1.106694,0.4113804,0.3528444,0.6009295,1.029162,1.160894,1.156551
k_ppt26,1.398861,0.4207912,0.3714825,3.426280,1.385078,0.1211448,2.157530,0.9565359,0.8401922,0.4419920,0.8590340,0.7790325,1.760834,5.101454,1.351079,0.4585526,0.9445785,0.8340288,0.2673848,0.1920017,1.180382,1.290322,8.817280,1.237888,1.955997,0.9718393,2.166059,0.9798989,2.074590,4.884806,0.5606295,0.4581482,4.099355,0.4745237,5.357159,0.3259044,0.3112780,0.2700290,0.6600415,2.056516,1.209477,0.1329872,0.6390357,0.3978621,0.5085177,0.6807036,0.4649505,0.5913829,1.830753,0.3235588
k_ppt27,1.245787,0.3959831,0.1622042,4.171250,0.9739836,0.2752455,0.8785342,0.7404026,0.9432207,0.3917640,0.5419755,1.054985,0.7841381,3.050131,4.054867,1.144969,1.747402,0.6076305,0.3994452,0.2910690,0.6456270,0.7643861,5.086463,1.233089,4.393825,0.9558890,2.781146,0.5697548,0.8807188,1.077002,1.854052,1.734764,5.865351,0.2273047,1.625327,0.6763922,0.3102453,0.7933542,0.1735470,2.537055,0.6395275,0.6212229,0.8455302,0.3393825,0.2728805,1.397131,0.4379683,1.373545,2.916224,0.3436986
k_ppt28,4.794174,0.6591327,0.5322879,2.858069,0.5800720,0.4163916,1.384706,0.8741953,1.405630,0.1374532,0.1800414,1.246347,0.7298505,1.273808,4.151148,0.7708254,3.720672,0.4628804,0.1757805,0.3377940,0.8143013,0.5624508,10.11008,1.820541,4.148698,0.6529215,1.699221,0.2359117,1.267290,1.092727,1.694626,1.613859,5.551648,0.5097206,0.7095571,0.9595875,0.2624135,1.584374,0.1441738,2.221879,0.2226722,2.407601,0.6796881,0.3160579,0.2194298,0.8699902,1.141623,2.160947,3.453256,0.3639492
k_ppt29,7.198876,2.669368,0.3526220,2.525013,1.377864,0.7467080,1.453517,3.150730,0.7120655,0.1002128,0.1462589,1.913137,1.330902,1.180321,0.4272147,1.324987,1.810535,0.3932350,0.1979863,0.4384909,1.125026,0.6639292,1.412868,6.277161,6.668500,0.5027482,1.046476,0.2862387,1.434806,0.8648756,1.088047,2.053903,3.977225,0.5924436,0.8167774,0.3438925,0.1631101,0.7681949,0.6183389,3.073464,0.2121771,1.266640,2.049001,0.5146296,0.5182057,1.025099,1.444434,3.168087,7.584479,0.7193779
k_ppt30,3.968136,5.036037,0.2540063,1.342658,4.094465,1.012816,2.045459,4.428515,0.6647763,8.1323907E-02,0.6336750,1.850064,1.013101,0.3735737,0.5162060,0.8032826,4.361128,0.4409105,0.2282927,0.1902845,1.084594,0.8696773,1.132365,4.385392,3.091557,0.4269047,0.3788555,0.3310938,0.7055402,0.3945020,0.8324039,1.684700,2.787796,0.4780943,0.5684291,0.2780256,0.1941519,2.560279,0.3275429,1.899975,0.4860478,0.4898694,1.872397,0.1812663,0.7391249,1.091989,1.465816,3.950951,9.566921,3.398232
k_ppt31,2.133842,2.377424,0.2804758,0.8822894,1.063157,0.9507371,3.099136,3.390948,0.4360822,0.1305455,0.3884477,0.8929509,0.5635705,0.8864354,0.1931459,1.239464,4.022842,0.7579800,0.2746150,9.7124748E-02,1.048737,1.711531,0.8758255,5.854613,1.116277,0.3074888,0.5612011,0.1458028,0.9834842,0.7403644,0.9518956,1.966315,2.927094,0.6460064,0.4828712,0.4908976,0.3301076,1.190102,0.6399194,2.885488,0.6556971,0.6921825,2.034523,0.2502390,0.6629166,0.4089391,1.229447,1.340482,10.58282,2.662671
k_ppt32,1.821216,2.571688,0.2737591,1.325950,0.4529739,0.9950240,3.143984,1.093774,1.205609,0.2676074,0.3834794,0.5766653,1.720939,1.230253,0.2030735,2.056708,3.417271,1.153129,0.4187037,0.3450033,0.5394913,0.8346475,1.468222,3.040188,2.749284,1.449248,0.4470225,0.2617324,0.4257708,1.317916,1.448640,1.566633,0.8113041,0.4731003,0.6168773,0.9866696,0.7591047,1.162683,1.073603,1.397383,0.8949219,1.235900,2.244591,0.2121023,1.627216,0.4963173,1.236413,2.033192,3.951312,0.9971379
k_ppt33,0.4297576,0.5456904,1.272631,5.993556,0.7235909,0.2232052,1.591732,1.453178,0.4326962,2.000006,0.8625740,0.6857953,2.635913,1.845008,0.9488280,0.9961851,0.2931271,0.2740452,0.5026274,0.6136913,0.7194210,2.062941,3.125266,1.304015,0.6898824,1.553541,4.217395,7.197266,5.628385,2.027260,0.6927825,0.6947173,2.530982,1.467318,3.146239,0.7987671,0.7314401,1.640496,1.177089,1.725819,0.6201802,0.5736742,0.3960415,0.4807654,0.3241320,0.4072063,0.7239880,1.145604,2.461439,1.686033
k_ppt34,1.565036,0.8162420,0.5086248,3.413598,0.9085688,9.3026288E-02,1.302872,1.544068,1.401727,0.6888587,0.5567272,0.7952531,1.404176,8.095553,2.028899,1.563655,1.972094,0.4607485,1.065447,0.5908089,1.956596,1.454420,4.503448,0.6349661,0.9016448,1.460296,2.563574,0.9184122,1.704100,1.163256,0.9060177,0.5793805,3.434670,1.459166,2.835977,0.8537805,0.3459615,0.8235589,0.7813346,0.8190923,0.4184796,2.609348,0.4884143,0.3134877,0.5710185,1.451921,0.8514001,1.029202,2.424113,0.8446202
k_ppt35,2.559474,1.262774,0.2267085,13.70515,5.768148,0.2463800,0.5718553,1.561356,0.7538358,1.096436,0.1924421,1.227977,1.212065,4.627102,5.263147,2.763658,1.914864,0.3798501,1.085760,1.150379,2.176676,1.461204,5.814096,0.2886148,1.788726,0.9959990,3.935832,1.282564,2.484300,0.6647037,2.256744,0.7136202,3.785557,0.9700363,2.147809,3.371950,0.2199480,1.224980,0.6043481,1.149018,0.3835844,1.046362,1.168999,0.1779746,0.1398717,0.7263740,0.5573372,2.192084,1.272380,0.3966161
k_ppt36,3.297378,0.5687484,0.2096443,8.542114,3.756084,0.9720930,0.3069047,0.4978837,1.078257,0.1383302,0.1003356,0.5887355,1.543039,3.320263,1.406748,1.785608,2.888228,0.4464540,0.6614982,0.3860551,1.086764,0.4417803,7.392100,0.6382888,4.419086,0.8570218,4.028019,0.2818845,7.065651,0.2906791,1.588890,1.236695,6.263953,2.473839,1.290064,1.321736,0.1577060,0.7448032,0.2082655,1.022380,9.0130582E-02,1.035754,1.828586,0.2389237,0.2074659,1.441335,0.2173912,2.573449,1.027062,0.9366996
k_ppt37,7.252094,0.9587778,0.6761764,4.313953,2.096396,0.7186405,0.4907595,2.620278,0.5934841,7.1438961E-02,0.1529685,2.952784,2.011578,2.598056,0.4481608,3.007503,1.535389,0.2087268,0.2469622,0.4200128,1.295346,0.5034801,2.977208,2.164724,1.620948,1.554612,1.486178,0.3284870,2.112143,1.074343,1.047390,0.7000533,3.685584,0.5589015,0.7811207,0.5959507,0.2399861,1.104701,0.5415092,1.396091,0.2006560,1.112549,2.437678,0.2264494,0.1940342,2.429754,0.6994844,3.011026,2.664470,0.8577778
k_ppt38,6.410420,1.235199,0.4080371,1.487290,1.213759,0.9355963,0.8390399,5.180341,0.8307968,0.1549431,0.4681366,1.487063,0.8326004,0.9658242,0.2800468,0.7394125,2.122948,0.1694771,0.5947108,0.3926723,2.339462,0.4809421,1.062258,5.239865,3.803120,3.248306,0.2586313,0.2100825,2.902630,2.339300,0.8442246,0.9313153,3.051049,0.3161297,0.4380457,0.6725765,0.4003721,2.397820,0.4356904,2.711676,0.5455377,1.237333,1.886555,0.1283847,0.2703557,1.744885,1.472062,5.721532,6.275267,1.466207
k_ppt39,1.967523,2.631682,0.1153169,0.6929140,0.6455912,0.4506702,0.8142898,3.367732,1.446877,0.5117461,1.333890,1.804546,0.7238571,1.709625,0.3345920,1.227261,3.159490,0.6597080,0.8448415,0.1984798,0.9280731,0.8976070,0.9284667,4.045185,2.307915,1.379600,0.5199670,0.1638236,2.926785,1.795837,0.7666311,1.939695,1.306700,0.3959766,0.9781215,0.7401998,0.1438362,1.851972,0.6628942,2.657046,0.4640108,1.057346,1.832870,0.1108013,0.1256315,0.7580404,1.108643,2.617829,2.842936,0.5366936
k_ppt40,1.769485,1.928610,0.2366739,0.9391603,0.9947655,0.5539655,2.271961,0.7359582,1.276449,0.5226083,0.8806454,1.362341,0.9951781,3.484903,0.8139729,2.143352,0.6869683,0.5274422,0.5669402,0.4518996,0.4486581,1.807513,1.364245,1.699349,3.580025,2.542172,0.2010995,0.2616941,0.6365360,2.783185,1.786771,0.7420858,1.454713,0.8117107,0.8169312,2.437111,0.1783616,1.280574,2.002378,1.152349,0.2210238,2.562634,1.162225,9.9632800E-02,0.9774591,0.4472598,0.5243420,3.819840,2.503775,1.051132
k_ppt41,0.4971821,0.7011252,1.648034,7.919441,1.027337,0.8748307,0.7798603,2.055398,0.5755543,3.351050,0.6809501,1.468484,1.059676,1.612675,0.4745827,1.093172,0.6512026,0.9274260,0.7897813,1.079088,1.533630,3.231744,2.585320,1.157634,0.3889208,3.151438,2.586965,4.764243,1.318802,2.355088,0.2881799,0.6854226,0.6906341,0.9253251,4.301858,0.5473160,0.3747693,1.604025,0.5166134,0.3330026,0.2547057,1.490911,0.5368945,1.300195,0.3138267,0.2213690,0.5098515,1.085786,4.027484,1.477001
k_ppt42,0.5491049,1.054326,1.856259,5.540191,0.8974527,0.3983246,0.7245708,2.136752,2.180940,1.647709,0.1475762,0.6251418,2.169021,3.993562,1.008702,1.172243,2.299162,0.4780798,1.103627,0.6572530,2.502709,3.125737,4.703736,1.239341,0.2157469,0.6027003,2.006859,2.049401,2.488135,0.3450247,0.5135033,1.006103,3.945101,0.8850108,1.621157,1.063940,0.3604687,1.459013,0.2031250,0.5202984,0.2899789,1.057628,0.9323337,0.9649677,0.5020104,1.446265,0.5668235,1.795381,1.900912,1.705759
k_ppt43,2.317699,0.5118213,0.4016244,15.22898,2.082859,0.1671899,0.7767618,1.716575,1.418348,0.6868446,0.1801474,0.7226053,1.626835,2.493573,0.9026335,1.718521,2.673684,0.4880907,0.6008948,0.5451533,0.8097928,1.336902,5.316886,1.619755,0.2604738,0.6409225,1.620212,0.7185825,2.591552,0.2134733,0.9167777,0.9806139,4.055138,1.571933,4.346976,0.4215363,0.3011977,1.791210,0.2859434,0.3946034,0.2620953,0.5987057,1.093856,0.2360286,0.1469886,0.9310542,0.4771622,1.385013,0.8842954,1.207304
k_ppt44,4.206850,0.7378664,1.489710,15.11269,2.664900,0.8559804,0.2028713,0.7514356,0.9156544,0.1620503,6.1901335E-02,2.488516,0.8630146,2.228870,0.8048634,1.285149,3.403899,0.3182697,0.3504700,2.117237,0.5407310,0.4860545,9.573092,0.3584963,1.659825,1.893755,5.232062,0.1677908,10.77436,0.1211301,1.039550,1.465193,1.235017,1.441049,2.027892,0.3590671,0.1674152,1.162857,0.1386683,0.7169165,0.2301984,0.9451090,1.124899,0.2736558,0.1495492,1.174607,0.4105973,4.711542,3.513397,0.7992137
k_ppt45,1.972635,0.5461555,0.7378851,6.381464,3.752594,0.4716706,0.3900433,1.192324,0.8628027,0.1262511,0.1419213,2.900894,0.3703903,1.618221,0.7466713,1.541340,1.149738,0.1370047,0.2483846,0.6820232,0.7009702,0.4211813,1.542969,2.346501,0.8213133,4.031151,1.053936,0.2122640,8.015215,0.4645089,1.427467,1.407640,1.497890,1.281931,0.7029673,1.066710,0.1974250,1.547360,0.1911455,0.8512848,0.2491846,0.4680630,2.075992,0.4249785,0.2756769,0.7234918,0.3421112,1.660110,2.421340,0.9574763
k_ppt46,0.9971309,1.520287,0.9877823,1.494140,2.717896,0.8310037,0.7190937,4.732885,1.656008,0.3081659,1.420264,2.243384,0.6855879,1.509663,0.3454912,0.3813978,2.186008,0.1068192,0.5952643,0.2962316,0.6976599,0.8414282,1.051928,8.195712,2.896314,1.607851,0.4575070,0.2062646,6.312137,0.6751007,0.4285622,1.118209,3.673126,0.9107935,0.3095546,3.153878,0.4762282,3.557201,0.1865559,1.957603,9.7397476E-02,0.7352968,1.223274,0.1786422,0.1516490,0.6230373,0.7987703,2.318069,2.076276,1.228768
k_ppt47,4.234547,1.908314,0.4503163,0.1897155,0.8733757,0.8455085,0.7910918,5.345203,1.005987,0.3736988,0.9465024,2.671385,1.919210,3.605336,0.2917756,2.553197,1.503451,0.1759610,0.9160935,0.4649600,1.120563,1.541845,2.314419,2.910105,3.584967,1.055436,0.2061283,0.2182969,9.685615,1.248854,2.028722,1.844886,3.216747,0.6064373,0.2387805,1.225433,0.2521740,4.907541,0.2913251,1.967013,0.1121406,1.455937,2.249116,0.1452351,0.2819660,0.8214462,0.4903474,2.815698,0.9380608,0.5170841
k_ppt48,2.253714,1.766240,0.3107978,0.3682095,0.9181868,0.3556531,0.6654118,1.417149,2.646821,0.3577665,0.9170898,1.394877,0.9382421,3.321099,0.5516461,2.205420,2.073450,0.2662067,0.9017150,0.5234222,0.7790104,1.593178,1.364602,1.667835,3.845034,2.515237,7.1083024E-02,0.3154669,4.233891,1.837328,1.163668,0.6430823,3.499119,1.033900,0.7443633,1.850518,0.1744488,2.120316,0.7522769,2.905013,8.6670525E-02,0.6369144,2.919446,0.2833192,0.2930013,1.231830,0.5827303,4.249794,2.242722,0.4863749
